iter	Passed	Remaining
860	23259	30769
861	23288	30744
862	23318	30721
863	23354	30706
864	23383	30682
865	23412	30658
866	23440	30632
867	23470	30609
868	23499	30583
869	23526	30557
870	23555	30533
871	23580	30503
872	23609	30478
873	23638	30454
874	23665	30426
875	23682	30386
876	23714	30366
877	23732	30327
878	23755	30296
879	23780	30266
880	23804	30235
881	23824	30199
882	23853	30174
883	23884	30153
884	23910	30124
885	23935	30094
886	23961	30066
887	23989	30041
888	24018	30016
889	24050	29995
890	24076	29967
891	24104	29941
892	24133	29916
893	24159	29888
894	24185	29859
895	24199	29816
896	24226	29790
897	24253	29762
898	24273	29727
899	24297	29697
900	24324	29669
901	24346	29636
902	24367	29602
903	24386	29566
904	24406	29530
905	24411	29477
906	24439	29450
907	24465	29423
908	24490	29393
909	24515	29364
910	24548	29345
911	24573	29316
912	24598	29286
913	24628	29262
914	24656	29237
915	24684	29211
916	24709	29182
917	24732	29150
918	24755	29119
919	24783	29094
920	24805	29061
921	24831	29032
922	24857	29005
923	24870	28961
924	24893	28930
925	24918	28901
926	24946	28875
927	24954	28826
928	24980	28798
929	25003	28767
930	25029	28739
931	25053	28708
932	25070	28671
933	25100	28648
934	25129	28623
935	25157	28598
936	25178	28564
937	25202	28534
938	25227	28504
939	25251	28475
940	25277	28447
941	25303	28419
942	25330	28392
943	25359	28368
944	25385	28340
945	25410	28311
946	25436	28283
947	25453	28245
948	25477	28215
949	25503	28188
950	25530	28161
951	25556	28134
952	25588	28111
953	25613	28083
954	25642	28058
955	25669	28032
956	25697	28006
957	25722	27977
958	25750	27952
959	25775	27923
960	25802	27896
961	25827	27867
962	25855	27842
963	25885	27818
964	25912	27792
965	25938	27764
966	25964	27736
967	25995	27714
968	26020	27685
969	26049	27660
970	26078	27636
971	26101	27605
972	26128	27579
973	26152	27548
974	26179	27521
975	26203	27491
976	26230	27465
977	26253	27434
978	26281	27408
979	26299	27373
980	26326	27345
981	26333	27298
982	26356	27267
983	26382	27240
984	26402	27207
985	26428	27179
986	26449	27146
987	26462	27105
988	26492	27082
989	26513	27049
990	26538	27020
991	26551	26979
992	26577	26951
993	26601	26922
994	26627	26895
995	26655	26869
996	26681	26841
997	26704	26811
998	26734	26787
999	26760	26760
1000	26791	26737
1001	26818	26711
1002	26853	26692
1003	26882	26668
1004	26906	26638
1005	26935	26614
1006	26955	26580
1007	26975	26547
1008	26998	26517
1009	27029	26493
1010	27059	26470
1011	27089	26447
1012	27126	26430
1013	27158	26408
1014	27185	26381
1015	27214	26356
1016	27243	26332
1017	27259	26295
1018	27282	26264
1019	27305	26234
1020	27329	26205
1021	27356	26179
1022	27383	26151
1023	27407	26122
1024	27433	26095
1025	27447	26055
1026	27472	26027
1027	27500	26002
1028	27521	25969
1029	27537	25933
1030	27562	25905
1031	27588	25877
1032	27614	25850
1033	27641	25823
1034	27668	25797
1035	27695	25770
1036	27720	25742
1037	27732	25702
1038	27762	25678
1039	27788	25651
1040	27814	25623
1041	27840	25596
1042	27860	25563
1043	27886	25536
1044	27912	25508
1045	27939	25482
1046	27967	25456
1047	27991	25427
1048	28019	25402
1049	28042	25371
1050	28071	25346
1051	28103	25324
1052	28131	25300
1053	28151	25266
1054	28176	25238
1055	28199	25208
1056	28223	25179
1057	28250	25153
1058	28276	25125
1059	28302	25098
1060	28326	25069
1061	28353	25043
1062	28381	25017
1063	28411	24993
1064	28439	24967
1065	28468	24943
1066	28491	24913
1067	28516	24885
1068	28540	24856
1069	28558	24821
1070	28582	24793
1071	28610	24766
1072	28636	24739
1073	28652	24704
1074	28677	24675
1075	28703	24648
1076	28723	24616
1077	28748	24588
1078	28775	24562
1079	28801	24534
1080	28826	24506
1081	28851	24478
1082	28877	24451
1083	28903	24424
1084	28923	24391
1085	28947	24362
1086	28971	24333
1087	29001	24309
1088	29030	24285
1089	29056	24258
1090	29085	24233
1091	29110	24205
1092	29138	24179
1093	29164	24152
1094	29189	24124
1095	29219	24101
1096	29247	24074
1097	29272	24046
1098	29286	24010
1099	29312	23983
1100	29336	23953
1101	29362	23927
1102	29388	23899
1103	29408	23867
1104	29431	23837
1105	29459	23812
1106	29487	23787
1107	29516	23762
1108	29542	23735
1109	29574	23712
1110	29598	23683
1111	29624	23656
1112	29653	23631
1113	29682	23607
1114	29705	23577
1115	29733	23552
1116	29760	23525
1117	29778	23492
1118	29802	23463
